[2025-12-30 13:39:06] [INFO    ] discord.client: logging in using static token
[2025-12-30 13:39:06] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-12-30 13:39:06] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-12-30 13:39:06] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1455435960690147349', 'username': 'Notification', 'avatar': None, 'discriminator': '4957', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-12-30 13:39:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-12-30 13:39:07] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-12-30 13:39:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1455435960690147349', 'name': 'Notification', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1455435960690147349', 'username': 'Notification', 'avatar': None, 'discriminator': '4957', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands', 'bot'], 'permissions': '131072'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands', 'bot'], 'permissions': '131072'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '933ad26441bee0cf8dd10ace29cf2350a3d8ae73654ae77dda43f3aa3a45479f', 'flags': 524288, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '322711536453812244', 'username': 'kaowpunn', 'avatar': '502a3680d23e9f7e0c11bf172b3440b6', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': 'dedcc9404c7e2ecf734ebb7926d925c4', 'accent_color': None, 'global_name': 'KaowPunn', 'avatar_decoration_data': {'asset': 'a_0714c0941f1229da2b489de6b202efad', 'sku_id': '1440174638930853949', 'expires_at': 1768507200}, 'collectibles': {'nameplate': {'sku_id': '1427463138646954036', 'asset': 'nameplates/orb/magical_mist/', 'label': 'COLLECTIBLES_ORB_MAGIC_MISTS_NP_A11Y', 'palette': 'cobalt'}}, 'display_name_styles': {'font_id': 3, 'effect_id': 3, 'colors': [12790527]}, 'banner_color': None, 'clan': {'identity_guild_id': '1351147666729467936', 'identity_enabled': True, 'tag': 'NoF', 'badge': '58271fb362c4464a4ebead69a2ec0f72'}, 'primary_guild': {'identity_guild_id': '1351147666729467936', 'identity_enabled': True, 'tag': 'NoF', 'badge': '58271fb362c4464a4ebead69a2ec0f72'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-12-30 13:39:07] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-12-30 13:39:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-drpt",{"micros":0.0}]']}}
[2025-12-30 13:39:07] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-12-30 13:39:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
